epoch,step,test_loss,test_renyi_lb,train_loss_epoch,train_loss_step,train_renyi_lb_epoch,train_renyi_lb_step
0,7,,,0.07210364192724228,,-0.07210364192724228,
1,15,,,0.015513964928686619,,-0.015513964928686619,
2,23,,,-0.013620379380881786,,0.013620379380881786,
3,31,,,-0.060635924339294434,,0.060635924339294434,
4,39,,,-0.09541860967874527,,0.09541860967874527,
5,47,,,-0.12252436578273773,,0.12252436578273773,
6,49,,,,-0.1352400779724121,,0.1352400779724121
6,55,,,-0.14422738552093506,,0.14422738552093506,
7,63,,,-0.1605370044708252,,0.1605370044708252,
8,71,,,-0.1721181571483612,,0.1721181571483612,
9,79,,,-0.18083803355693817,,0.18083803355693817,
10,87,,,-0.18734320998191833,,0.18734320998191833,
11,95,,,-0.19169509410858154,,0.19169509410858154,
12,99,,,,-0.18450087308883667,,0.18450087308883667
12,103,,,-0.19518694281578064,,0.19518694281578064,
13,111,,,-0.197514146566391,,0.197514146566391,
14,119,,,-0.20005342364311218,,0.20005342364311218,
15,127,,,-0.20097476243972778,,0.20097476243972778,
16,135,,,-0.20180276036262512,,0.20180276036262512,
17,143,,,-0.2029341608285904,,0.2029341608285904,
18,149,,,,-0.1960272192955017,,0.1960272192955017
18,151,,,-0.20419615507125854,,0.20419615507125854,
19,159,,,-0.20441602170467377,,0.20441602170467377,
20,167,,,-0.20475398004055023,,0.20475398004055023,
21,175,,,-0.2061072438955307,,0.2061072438955307,
22,183,,,-0.2050681710243225,,0.2050681710243225,
23,191,,,-0.20564743876457214,,0.20564743876457214,
24,199,,,,-0.21306681632995605,,0.21306681632995605
24,199,,,-0.20597995817661285,,0.20597995817661285,
25,207,,,-0.20716696977615356,,0.20716696977615356,
26,215,,,-0.20660018920898438,,0.20660018920898438,
27,223,,,-0.2071276158094406,,0.2071276158094406,
28,231,,,-0.2083633542060852,,0.2083633542060852,
29,239,,,-0.20725883543491364,,0.20725883543491364,
30,247,,,-0.20755043625831604,,0.20755043625831604,
31,249,,,,-0.17272061109542847,,0.17272061109542847
31,255,,,-0.209481343626976,,0.209481343626976,
32,263,,,-0.20780068635940552,,0.20780068635940552,
33,271,,,-0.2080560028553009,,0.2080560028553009,
34,279,,,-0.20858977735042572,,0.20858977735042572,
35,287,,,-0.20870305597782135,,0.20870305597782135,
36,295,,,-0.20937621593475342,,0.20937621593475342,
37,299,,,,-0.20103472471237183,,0.20103472471237183
37,303,,,-0.21031606197357178,,0.21031606197357178,
38,311,,,-0.2094695121049881,,0.2094695121049881,
39,319,,,-0.20891882479190826,,0.20891882479190826,
40,327,,,-0.21024218201637268,,0.21024218201637268,
41,335,,,-0.20973052084445953,,0.20973052084445953,
42,343,,,-0.20984269678592682,,0.20984269678592682,
43,349,,,,-0.21591129899024963,,0.21591129899024963
43,351,,,-0.2103300839662552,,0.2103300839662552,
44,359,,,-0.21072490513324738,,0.21072490513324738,
45,367,,,-0.21103474497795105,,0.21103474497795105,
46,375,,,-0.2114534229040146,,0.2114534229040146,
47,383,,,-0.2114570140838623,,0.2114570140838623,
48,391,,,-0.20966677367687225,,0.20966677367687225,
49,399,,,,-0.2037358582019806,,0.2037358582019806
49,399,,,-0.21148957312107086,,0.21148957312107086,
50,407,,,-0.21106378734111786,,0.21106378734111786,
51,415,,,-0.21065397560596466,,0.21065397560596466,
52,423,,,-0.21064789593219757,,0.21064789593219757,
53,431,,,-0.21153175830841064,,0.21153175830841064,
54,439,,,-0.21154120564460754,,0.21154120564460754,
55,447,,,-0.21094194054603577,,0.21094194054603577,
56,449,,,,-0.1986410915851593,,0.1986410915851593
56,455,,,-0.21088027954101562,,0.21088027954101562,
57,463,,,-0.21095061302185059,,0.21095061302185059,
58,471,,,-0.21201467514038086,,0.21201467514038086,
59,479,,,-0.2117588073015213,,0.2117588073015213,
60,487,,,-0.21113169193267822,,0.21113169193267822,
61,495,,,-0.21112515032291412,,0.21112515032291412,
62,499,,,,-0.17268484830856323,,0.17268484830856323
62,503,,,-0.2116389125585556,,0.2116389125585556,
63,511,,,-0.21150058507919312,,0.21150058507919312,
64,519,,,-0.21137265861034393,,0.21137265861034393,
65,527,,,-0.21239565312862396,,0.21239565312862396,
66,535,,,-0.21212077140808105,,0.21212077140808105,
67,543,,,-0.21075187623500824,,0.21075187623500824,
68,549,,,,-0.2355729043483734,,0.2355729043483734
68,551,,,-0.21338103711605072,,0.21338103711605072,
69,559,,,-0.2111082226037979,,0.2111082226037979,
70,567,,,-0.21471479535102844,,0.21471479535102844,
71,575,,,-0.21165893971920013,,0.21165893971920013,
72,583,,,-0.21184556186199188,,0.21184556186199188,
73,591,,,-0.21270117163658142,,0.21270117163658142,
74,599,,,,-0.23655885457992554,,0.23655885457992554
74,599,,,-0.21200133860111237,,0.21200133860111237,
75,607,,,-0.21365226805210114,,0.21365226805210114,
76,615,,,-0.21256723999977112,,0.21256723999977112,
77,623,,,-0.21266086399555206,,0.21266086399555206,
78,631,,,-0.21331875026226044,,0.21331875026226044,
79,639,,,-0.21901705861091614,,0.21901705861091614,
80,647,,,-0.2123904526233673,,0.2123904526233673,
81,649,,,,-0.18359535932540894,,0.18359535932540894
81,655,,,-0.213867649435997,,0.213867649435997,
82,663,,,-0.21226747334003448,,0.21226747334003448,
83,671,,,-0.21254132688045502,,0.21254132688045502,
84,679,,,-0.21544353663921356,,0.21544353663921356,
85,687,,,-0.2144579142332077,,0.2144579142332077,
86,695,,,-0.21457195281982422,,0.21457195281982422,
87,699,,,,-0.17276567220687866,,0.17276567220687866
87,703,,,-0.2135171890258789,,0.2135171890258789,
88,711,,,-0.2136869579553604,,0.2136869579553604,
89,719,,,-0.2133951187133789,,0.2133951187133789,
90,727,,,-0.2132592797279358,,0.2132592797279358,
91,735,,,-0.2141856998205185,,0.2141856998205185,
92,743,,,-0.21250024437904358,,0.21250024437904358,
93,749,,,,-0.18800058960914612,,0.18800058960914612
93,751,,,-0.21295081079006195,,0.21295081079006195,
94,759,,,-0.2140076607465744,,0.2140076607465744,
95,767,,,-0.21325285732746124,,0.21325285732746124,
96,775,,,-0.21346430480480194,,0.21346430480480194,
97,783,,,-0.2130306214094162,,0.2130306214094162,
98,791,,,-0.2123389095067978,,0.2123389095067978,
99,799,,,,-0.1727280616760254,,0.1727280616760254
99,799,,,-0.21411120891571045,,0.21411120891571045,
100,807,,,-0.21313047409057617,,0.21313047409057617,
101,815,,,-0.21315991878509521,,0.21315991878509521,
102,823,,,-0.2144794911146164,,0.2144794911146164,
103,831,,,-0.21379214525222778,,0.21379214525222778,
104,839,,,-0.2153645008802414,,0.2153645008802414,
105,847,,,-0.21367134153842926,,0.21367134153842926,
106,849,,,,-0.17964965105056763,,0.17964965105056763
106,855,,,-0.21452109515666962,,0.21452109515666962,
107,863,,,-0.2141798883676529,,0.2141798883676529,
108,871,,,-0.2147173136472702,,0.2147173136472702,
109,879,,,-0.21482419967651367,,0.21482419967651367,
110,887,,,-0.21368247270584106,,0.21368247270584106,
111,895,,,-0.21456405520439148,,0.21456405520439148,
112,899,,,,-0.2651449143886566,,0.2651449143886566
112,903,,,-0.2150711715221405,,0.2150711715221405,
113,911,,,-0.21612761914730072,,0.21612761914730072,
114,919,,,-0.21406784653663635,,0.21406784653663635,
115,927,,,-0.21516618132591248,,0.21516618132591248,
116,935,,,-0.2157125025987625,,0.2157125025987625,
117,943,,,-0.21434295177459717,,0.21434295177459717,
118,949,,,,-0.18421560525894165,,0.18421560525894165
118,951,,,-0.21595153212547302,,0.21595153212547302,
119,959,,,-0.21382419764995575,,0.21382419764995575,
120,967,,,-0.21500900387763977,,0.21500900387763977,
121,975,,,-0.2166101634502411,,0.2166101634502411,
122,983,,,-0.21476325392723083,,0.21476325392723083,
123,991,,,-0.21476589143276215,,0.21476589143276215,
124,999,,,,-0.26572397351264954,,0.26572397351264954
124,999,,,-0.21478061378002167,,0.21478061378002167,
125,1007,,,-0.21466000378131866,,0.21466000378131866,
126,1015,,,-0.2143263965845108,,0.2143263965845108,
127,1023,,,-0.21562446653842926,,0.21562446653842926,
128,1031,,,-0.21453984081745148,,0.21453984081745148,
129,1039,,,-0.21436184644699097,,0.21436184644699097,
130,1047,,,-0.21489238739013672,,0.21489238739013672,
131,1049,,,,-0.1877548098564148,,0.1877548098564148
131,1055,,,-0.21575485169887543,,0.21575485169887543,
132,1063,,,-0.21580542623996735,,0.21580542623996735,
133,1071,,,-0.21484176814556122,,0.21484176814556122,
134,1079,,,-0.21445798873901367,,0.21445798873901367,
135,1087,,,-0.2147855907678604,,0.2147855907678604,
136,1095,,,-0.2172480970621109,,0.2172480970621109,
137,1099,,,,-0.22898930311203003,,0.22898930311203003
137,1103,,,-0.21449384093284607,,0.21449384093284607,
138,1111,,,-0.21554706990718842,,0.21554706990718842,
139,1119,,,-0.21641728281974792,,0.21641728281974792,
140,1127,,,-0.215192973613739,,0.215192973613739,
141,1135,,,-0.2144591510295868,,0.2144591510295868,
142,1143,,,-0.2165864259004593,,0.2165864259004593,
143,1149,,,,-0.24119335412979126,,0.24119335412979126
143,1151,,,-0.21656860411167145,,0.21656860411167145,
144,1159,,,-0.2150731235742569,,0.2150731235742569,
145,1167,,,-0.21559743583202362,,0.21559743583202362,
146,1175,,,-0.21486032009124756,,0.21486032009124756,
147,1183,,,-0.21556513011455536,,0.21556513011455536,
148,1191,,,-0.2152843326330185,,0.2152843326330185,
149,1199,,,,-0.25002172589302063,,0.25002172589302063
149,1199,,,-0.21921594440937042,,0.21921594440937042,
150,1207,,,-0.21511296927928925,,0.21511296927928925,
151,1215,,,-0.215302973985672,,0.215302973985672,
152,1223,,,-0.21778042614459991,,0.21778042614459991,
153,1231,,,-0.21630322933197021,,0.21630322933197021,
154,1239,,,-0.21664756536483765,,0.21664756536483765,
155,1247,,,-0.21532583236694336,,0.21532583236694336,
