epoch,step,test_loss,test_renyi_lb,train_loss_epoch,train_loss_step,train_renyi_lb_epoch,train_renyi_lb_step
0,7,,,-0.3013916611671448,,0.3013916611671448,
1,15,,,-0.34123778343200684,,0.34123778343200684,
2,23,,,-0.3491753339767456,,0.3491753339767456,
3,31,,,-0.3464861512184143,,0.3464861512184143,
4,39,,,-0.3490794599056244,,0.3490794599056244,
5,47,,,-0.3480988144874573,,0.3480988144874573,
6,49,,,,-0.3775796890258789,,0.3775796890258789
6,55,,,-0.3481345772743225,,0.3481345772743225,
7,63,,,-0.3504033088684082,,0.3504033088684082,
8,71,,,-0.34898632764816284,,0.34898632764816284,
9,79,,,-0.3498350977897644,,0.3498350977897644,
10,87,,,-0.3499777913093567,,0.3499777913093567,
11,95,,,-0.3501627445220947,,0.3501627445220947,
12,99,,,,-0.3198986053466797,,0.3198986053466797
12,103,,,-0.34901899099349976,,0.34901899099349976,
13,111,,,-0.34923213720321655,,0.34923213720321655,
14,119,,,-0.34988611936569214,,0.34988611936569214,
15,127,,,-0.3481141924858093,,0.3481141924858093,
16,135,,,-0.35100919008255005,,0.35100919008255005,
17,143,,,-0.3514133095741272,,0.3514133095741272,
18,149,,,,-0.3369913101196289,,0.3369913101196289
18,151,,,-0.3483046293258667,,0.3483046293258667,
19,159,,,-0.3491910696029663,,0.3491910696029663,
20,167,,,-0.348601758480072,,0.348601758480072,
21,175,,,-0.34961822628974915,,0.34961822628974915,
22,183,,,-0.34850969910621643,,0.34850969910621643,
23,191,,,-0.35038432478904724,,0.35038432478904724,
24,199,,,,-0.3254575729370117,,0.3254575729370117
24,199,,,-0.34980660676956177,,0.34980660676956177,
25,207,,,-0.3498546779155731,,0.3498546779155731,
26,215,,,-0.3504379987716675,,0.3504379987716675,
27,223,,,-0.3506474494934082,,0.3506474494934082,
28,231,,,-0.34987688064575195,,0.34987688064575195,
29,239,,,-0.3494761884212494,,0.3494761884212494,
30,247,,,-0.34789761900901794,,0.34789761900901794,
31,249,,,,-0.3576493263244629,,0.3576493263244629
31,255,,,-0.3502044081687927,,0.3502044081687927,
32,263,,,-0.34942227602005005,,0.34942227602005005,
